id,name
GO:0000002,mitochondrial genome maintenance
GO:0000012,single strand break repair
GO:0000018,regulation of DNA recombination
GO:0000019,regulation of mitotic recombination
GO:0000022,mitotic spindle elongation
GO:0000023,maltose metabolic process
GO:0000027,ribosomal large subunit assembly
GO:0000028,ribosomal small subunit assembly
GO:0000032,cell wall mannoprotein biosynthetic process
GO:0000038,very long-chain fatty acid metabolic process
GO:0000041,transition metal ion transport
GO:0000042,protein targeting to Golgi
GO:0000045,autophagosome assembly
GO:0000050,urea cycle
GO:0000052,citrulline metabolic process
GO:0000054,ribosomal subunit export from nucleus
GO:0000055,ribosomal large subunit export from nucleus
GO:0000056,ribosomal small subunit export from nucleus
GO:0000059,"protein import into nucleus, docking"
GO:0000060,"protein import into nucleus, translocation"
GO:0000070,mitotic sister chromatid segregation
GO:0000075,cell cycle checkpoint
GO:0000076,DNA replication checkpoint
GO:0000077,DNA damage checkpoint
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082,G1/S transition of mitotic cell cycle
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000086,G2/M transition of mitotic cell cycle
GO:0000096,sulfur amino acid metabolic process
GO:0000097,sulfur amino acid biosynthetic process
GO:0000098,sulfur amino acid catabolic process
GO:0000101,sulfur amino acid transport
GO:0000103,sulfate assimilation
GO:0000105,histidine biosynthetic process
GO:0000122,negative regulation of transcription from RNA polymerase II promoter
GO:0000132,establishment of mitotic spindle orientation
GO:0000154,rRNA modification
GO:0000160,phosphorelay signal transduction system
GO:0000165,MAPK cascade
GO:0000183,chromatin silencing at rDNA
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000185,activation of MAPKKK activity
GO:0000186,activation of MAPKK activity
GO:0000187,activation of MAPK activity
GO:0000188,inactivation of MAPK activity
GO:0000189,MAPK import into nucleus
GO:0000209,protein polyubiquitination
GO:0000212,meiotic spindle organization
GO:0000226,microtubule cytoskeleton organization
GO:0000244,spliceosomal tri-snRNP complex assembly
GO:0000245,spliceosomal complex assembly
GO:0000255,allantoin metabolic process
GO:0000266,mitochondrial fission
GO:0000270,peptidoglycan metabolic process
GO:0000271,polysaccharide biosynthetic process
GO:0000272,polysaccharide catabolic process
GO:0000278,mitotic cell cycle
GO:0000280,nuclear division
GO:0000281,mitotic cytokinesis
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic"
GO:0000294,"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"
GO:0000301,"retrograde transport, vesicle recycling within Golgi"
GO:0000302,response to reactive oxygen species
GO:0000303,response to superoxide
GO:0000305,response to oxygen radical
GO:0000320,re-entry into mitotic cell cycle
GO:0000338,protein deneddylation
GO:0000350,generation of catalytic spliceosome for second transesterification step
