id,name
1,A1BG
10,NAT2
100,ADA
1000,CDH2
10000,AKT3
100008586,GAGE12F
10001,MED6
10002,NR2E3
10003,NAALAD2
100033411,DUXB
100037417,DDTL
10004,NAALADL1
100049579,OCTN3
100049587,SIGLEC14
10005,ACOT8
10006,ABI1
10007,GNPDA1
10008,KCNE3
10009,ZBTB33
1001,CDH3
10010,TANK
100101267,POM121C
100101467,ZSCAN30
100101629,GAGE8
10011,SRA1
100113407,TMEM170B
100125288,ZGLP1
100127206,KIAA1024L
100127889,C10orf131
100127971,LOC100127971
100127983,C8orf88
100127991,LOC100127991
100128001,LOC100128001
100128071,FAM229A
100128088,LOC100128088
100128107,LOC100128107
100128108,LOC100128108
100128124,HGC6.3
100128160,LOC100128160
100128170,LOC100128170
100128184,LOC100128184
100128198,LOC100128198
100128265,LOC100128265
100128274,LOC100128274
100128320,LOC100128320
100128327,TRAPPC3L
100128348,LOC100128348
100128402,LOC100128402
100128429,LOC100128429
100128430,LOC100128430
100128437,LOC100128437
100128496,C20orf78
100128498,LOC100128498
100128517,LOC100128517
100128529,LOC100128529
100128551,LOC100128551
100128553,CTAGE4
100128569,C19orf71
100128571,LOC100128571
100128591,LOC100128591
100128651,LOC100128651
100128668,LOC100128668
100128691,LOC100128691
100128697,LOC100128697
100128731,OST4
100128795,LOC100128795
100128824,LOC100128824
100128851,LOC100128851
100128905,LOC100128905
100128927,ZBTB42
100128950,LOC100128950
100129042,LOC100129042
100129069,LOC100129069
100129083,LOC100129083
100129094,BTNL10
100129098,LOC100129098
100129112,LOC100129112
100129115,LOC100129115
100129125,LOC100129125
100129126,LOC100129126
100129128,KHDC1L
100129171,LOC100129171
100129216,LOC100129216
100129239,CXorf51A
100129240,LOC100129240
100129271,C1orf68
100129275,LOC100129275
100129278,TDRD15
100129280,LOC100129280
100129307,LOC100129307
100129311,LOC100129311
100129322,LOC100129322
100129324,LOC100129324
100129361,SMIM10L1
100129363,LOC100129363
100129380,LOC100129380
100129385,C9orf92
100129393,LOC100129393
100129397,LOC100129397
100129399,LOC100129399
100129406,LOC100129406
100129408,LOC100129408
100129447,LOC100129447
100129480,MKRN2OS
100129520,LOC100129520
100129528,MUC8
100129543,ZNF730
100129572,LOC100129572
100129583,FAM47E
100129654,TCF24
100129669,IZUMO3
100129697,LOC100129697
100129721,LOC100129721
100129763,LOC100129763
100129775,LOC100129775
100129785,LOC100129785
100129792,CCDC152
100129840,LOC100129840
100129842,ZNF737
100129846,LOC100129846
100129852,LOC100129852
100129884,LOC100129884
100129924,LOC100129924
100129940,LOC100129940
100129969,FAM205C
100129974,LOC100129974
10013,HDAC6
100130051,LOC100130051
100130057,LOC100130057
100130078,LOC100130078
100130086,HSFX2
100130097,KIF28P
100130101,LOC100130101
100130175,LOC100130175
100130274,CCDC166
100130276,LOC100130276
100130278,LOC100130278
100130301,C8orf89
100130302,SUPT20HL1
100130311,C17orf107
100130314,LOC100130314
100130345,LOC100130345
100130348,TMEM262
100130357,LOC100130357
